State,IMS_Year_Category,Location,Description,Total_Inspection_Completed_Works,Completed_Works_U%,Ongoing_Works,Ongoing_U%,Maintenance_Works,Maintenance_U%,Bridge_Works,Bridge_U%,Total_Inspection
District,1,Bokaro,        Unsatisfactory works grading during  2022 - 2023,11,0,0.00%,1,9.09%,0,0.00%,0,0.00%
District,1,Bokaro,        Unsatisfactory works grading during  2023 - 2024,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%
District,2,Chatra,        Unsatisfactory works grading during  2022 - 2023,13,0,0.00%,0,0.00%,0,0.00%,0,0.00%
District,2,Chatra,        Unsatisfactory works grading during  2023 - 2024,26,0,0.00%,2,7.69%,1,3.85%,0,0.00%
District,3,Dhanbad,        Unsatisfactory works grading during  2022 - 2023,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%
District,3,Dhanbad,        Unsatisfactory works grading during  2023 - 2024,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%
District,4,Dumka,        Unsatisfactory works grading during  2022 - 2023,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%
District,4,Dumka,        Unsatisfactory works grading during  2023 - 2024,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%
District,5,Garhwa,        Unsatisfactory works grading during  2022 - 2023,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%
District,5,Garhwa,        Unsatisfactory works grading during  2023 - 2024,8,0,0.00%,0,0.00%,0,0.00%,0,0.00%
District,6,Giridih,        Unsatisfactory works grading during  2022 - 2023,7,0,0.00%,1,14.29%,0,0.00%,0,0.00%
District,6,Giridih,        Unsatisfactory works grading during  2023 - 2024,12,0,0.00%,1,8.33%,0,0.00%,0,0.00%
District,7,Gumla,        Unsatisfactory works grading during  2022 - 2023,7,0,0.00%,2,28.57%,0,0.00%,0,0.00%
District,7,Gumla,        Unsatisfactory works grading during  2023 - 2024,22,3,13.64%,0,0.00%,1,4.55%,0,0.00%
District,8,Hazaribagh,        Unsatisfactory works grading during  2022 - 2023,11,0,0.00%,0,0.00%,2,18.18%,0,0.00%
District,8,Hazaribagh,        Unsatisfactory works grading during  2023 - 2024,16,0,0.00%,0,0.00%,1,6.25%,0,0.00%
District,9,Khunti,        Unsatisfactory works grading during  2022 - 2023,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%
District,9,Khunti,        Unsatisfactory works grading during  2023 - 2024,26,4,15.38%,0,0.00%,0,0.00%,0,0.00%
District,10,Koderma,        Unsatisfactory works grading during  2022 - 2023,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%
District,10,Koderma,        Unsatisfactory works grading during  2023 - 2024,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%
District,11,Latehar,        Unsatisfactory works grading during  2022 - 2023,15,0,0.00%,1,6.67%,1,6.67%,0,0.00%
District,11,Latehar,        Unsatisfactory works grading during  2023 - 2024,16,1,6.25%,5,31.25%,0,0.00%,1,6.25%
District,12,Lohardaga,        Unsatisfactory works grading during  2022 - 2023,8,0,0.00%,1,12.50%,0,0.00%,0,0.00%
District,12,Lohardaga,        Unsatisfactory works grading during  2023 - 2024,9,0,0.00%,0,0.00%,0,0.00%,0,0.00%
District,13,Pakur,        Unsatisfactory works grading during  2022 - 2023,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%
District,13,Pakur,        Unsatisfactory works grading during  2023 - 2024,5,0,0.00%,0,0.00%,1,20.00%,0,0.00%
District,14,Palamu,        Unsatisfactory works grading during  2022 - 2023,8,0,0.00%,0,0.00%,0,0.00%,0,0.00%
District,14,Palamu,        Unsatisfactory works grading during  2023 - 2024,10,0,0.00%,0,0.00%,1,10.00%,0,0.00%
District,15,Pashchimi Singhbhum,        Unsatisfactory works grading during  2022 - 2023,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%
District,15,Pashchimi Singhbhum,        Unsatisfactory works grading during  2023 - 2024,14,0,0.00%,0,0.00%,1,7.14%,0,0.00%
District,16,Ramgarh,        Unsatisfactory works grading during  2022 - 2023,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%
District,16,Ramgarh,        Unsatisfactory works grading during  2023 - 2024,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%
District,17,Saraikela Kharsawan,        Unsatisfactory works grading during  2022 - 2023,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%
District,17,Saraikela Kharsawan,        Unsatisfactory works grading during  2023 - 2024,16,0,0.00%,0,0.00%,0,0.00%,0,0.00%
District,18,Simdega,        Unsatisfactory works grading during  2022 - 2023,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%
District,18,Simdega,        Unsatisfactory works grading during  2023 - 2024,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%
